type,recipe_id,ingredient,amount_sum,units_std,servings,value,amount_per
muffin,33155,sugar,0.5416666,cups,12,1/2 cup white sugar;2 teaspoons white sugar,0.04513888333333333
muffin,33157,baking powder,0.0208333,cups,12,1 teaspoon baking powder,0.0017361083333333333
muffin,33157,baking soda,0.01041665,cups,12,1/2 teaspoon baking soda,8.680541666666666e-4
muffin,33157,butter,0.5625,cups,12,1/2 cup butter;1 tablespoon butter,0.046875
muffin,33157,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,33157,flour,2.0625,cups,12,2 cups all-purpose flour;1 tablespoon all-purpose flour,0.171875
muffin,33157,fruit,1.5,cups,12,1 1/2 cups chopped apples,0.125
muffin,33157,other,0.026041625,cups,12,1 1/4 teaspoons vanilla,0.0021701354166666666
muffin,33157,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,33157,spice,0.0026041625,cups,12,1/8 teaspoon ground cinnamon,2.1701354166666666e-4
muffin,33157,sugar,1.3333333333333333,cups,12,1 cup white sugar;1/3 cup packed brown sugar,0.1111111111111111
muffin,35757,baking powder,0.0208333,cups,12,1 teaspoon baking powder,0.0017361083333333333
muffin,35757,baking soda,0.01041665,cups,12,1/2 teaspoon baking soda,8.680541666666666e-4
muffin,35757,buttermilk,1,cups,12,1 cup buttermilk,0.08333333333333333
muffin,35757,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,35757,flour,1,cups,12,1 cup all-purpose flour,0.08333333333333333
muffin,35757,fruit,1,cups,12,1 cup chopped fresh strawberries,0.08333333333333333
muffin,35757,oats,1,cups,12,1 cup rolled oats,0.08333333333333333
muffin,35757,oil,0.25,cups,12,1/4 cup vegetable oil,0.020833333333333332
muffin,35757,other,0.0208333,cups,12,1 teaspoon vanilla,0.0017361083333333333
muffin,35757,salt,0.0208333,cups,12,1 teaspoon salt,0.0017361083333333333
muffin,35757,sugar,0.75,cups,12,3/4 cup brown sugar,0.0625
muffin,36397,baking soda,0.01041665,cups,12,1/2 teaspoon baking soda,8.680541666666666e-4
muffin,36397,butter,0.25,cups,12,"1/4 cup butter, softened",0.020833333333333332
muffin,36397,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,36397,flour,1.75,cups,12,1 3/4 cups all-purpose flour,0.14583333333333334
muffin,36397,fruit,1.5,cups,12,1 1/2 cups chopped fresh strawberries,0.125
muffin,36397,salt,0.005208325,cups,12,1/4 teaspoon salt,4.340270833333333e-4
muffin,36397,spice,0.005208325,cups,12,1/4 teaspoon ground nutmeg,4.340270833333333e-4
muffin,36397,sugar,0.75,cups,12,1/2 cup white sugar;1/4 cup white sugar,0.0625
muffin,36397,vanilla,0.0208333,cups,12,1 teaspoon vanilla extract,0.0017361083333333333
muffin,39949,baking soda,0.0208333,cups,12,1 teaspoon baking soda,0.0017361083333333333
muffin,39949,eggs,1,eggs,12,"1 eggs, beaten",0.08333333333333333
muffin,39949,flour,2,cups,12,2 cups all-purpose flour,0.16666666666666666
muffin,39949,fruit,2,cups,12,"1 cup unsweetened applesauce;1 cup fresh or frozen cranberries, chopped",0.16666666666666666
muffin,39949,nut,0.5,cups,12,"1/2 cup pecans, chopped",0.041666666666666664
muffin,39949,oil,0.3333333333333333,cups,12,1/3 cup vegetable oil,0.027777777777777776
muffin,39949,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,39949,spice,0.0208333,cups,12,1 teaspoon ground cinnamon,0.0017361083333333333
muffin,39949,sugar,0.5,cups,12,1/2 cup white sugar,0.041666666666666664
muffin,40403,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,40403,butter,0.5,cups,12,1/2 cup unsalted butter,0.041666666666666664
muffin,40403,buttermilk,0.5,cups,12,1/2 cup buttermilk,0.041666666666666664
muffin,40403,eggs,2,eggs,12,2 eggs,0.16666666666666666
muffin,40403,flour,2,cups,12,"2 cups all-purpose flour, divided",0.16666666666666666
muffin,40403,fruit,2,cups,12,"1 pint fresh blueberries - rinsed, drained and patted dry",0.16666666666666666
muffin,40403,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,40403,sugar,1.375,cups,12,1 1/4 cups white sugar;2 tablespoons white sugar,0.11458333333333333
muffin,42719,baking powder,0.0208333,cups,12,1 teaspoon baking powder,0.0017361083333333333
muffin,42719,baking soda,0.0208333,cups,12,1 teaspoon baking soda,0.0017361083333333333
muffin,42719,butter,0.3333333333333333,cups,12,"1/3 cup butter, melted",0.027777777777777776
muffin,42719,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,42719,flour,1.5,cups,12,1 1/2 cups all-purpose flour,0.125
muffin,42719,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,42719,sugar,0.75,cups,12,3/4 cup white sugar,0.0625
muffin,42719,unitless,1,NA,12,"3 large bananas, mashed",0.08333333333333333
muffin,48968,baking powder,0.0416666,cups,6,2 teaspoons baking powder,0.006944433333333333
muffin,48968,butter,0.625,cups,6,"1/2 cup butter;2 tablespoons butter, cubed",0.10416666666666667
muffin,48968,eggs,2,eggs,6,2 eggs,0.3333333333333333
muffin,48968,flour,1.9375,cups,6,1 3/4 cups all-purpose flour;3 tablespoons all-purpose flour,0.3229166666666667
muffin,48968,fruit,2,cups,6,"2 cups peeled, cored and sliced apples",0.3333333333333333
muffin,48968,milk,0.5,cups,6,1/2 cup milk,0.08333333333333333
muffin,48968,nut,0.5,cups,6,1/2 cup walnuts,0.08333333333333333
muffin,48968,salt,0.01041665,cups,6,1/2 teaspoon salt,0.0017361083333333333
muffin,48968,spice,0.0208333,cups,6,1/2 teaspoon ground cinnamon;1/2 teaspoon ground cinnamon,0.0034722166666666665
muffin,48968,sugar,1.5,cups,6,1 1/4 cups white sugar;1/4 cup white sugar,0.25
muffin,48968,vanilla,0.0208333,cups,6,1 teaspoon vanilla extract,0.0034722166666666665
muffin,49383,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
muffin,49383,eggs,2,eggs,12,2 egg whites,0.16666666666666666
muffin,49383,flour,1.5,cups,12,1 1/2 cups all-purpose flour,0.125
muffin,49383,fruit,1.03124995,cups,12,1/2 teaspoon lemon extract (optional);1 teaspoon grated lemon zest;1 cup frozen raspberries,0.08593749583333334
muffin,49383,fruit juice,0.0625,cups,12,1 tablespoon lemon juice,0.005208333333333333
muffin,49383,oil,0.1875,cups,12,3 tablespoons vegetable oil,0.015625
muffin,49383,salt,0.005208325,cups,12,1/4 teaspoon salt,4.340270833333333e-4
muffin,49383,sugar,0.875,cups,12,3/4 cup white sugar;2 tablespoons white sugar for decoration (optional),0.07291666666666667
muffin,49383,yogurt,0.5,cups,12,1/2 cup plain yogurt,0.041666666666666664
muffin,52635,baking powder,0.0208333,cups,12,1 teaspoon baking powder,0.0017361083333333333
muffin,52635,baking soda,0.0208333,cups,12,1 teaspoon baking soda,0.0017361083333333333
muffin,52635,bran,1.5,cups,12,1 1/2 cups wheat bran,0.125
muffin,52635,eggs,1,eggs,12,1 egg,0.08333333333333333
muffin,52635,flour,1,cups,12,1/2 cup all-purpose flour;1/2 cup whole wheat flour,0.08333333333333333
muffin,52635,fruit,1.5,cups,12,1/2 cup unsweetened applesauce;1 cup blueberries,0.125
muffin,52635,milk,1,cups,12,1 cup nonfat milk,0.08333333333333333
muffin,52635,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
muffin,52635,sugar,0.6666666666666666,cups,12,2/3 cup brown sugar,0.05555555555555555
muffin,52635,vanilla,0.01041665,cups,12,1/2 teaspoon vanilla extract,8.680541666666666e-4
muffin,55334,baking powder,0.0208333,cups,12,1 teaspoon baking powder,0.0017361083333333333
muffin,55334,baking soda,0.005208325,cups,12,1/4 teaspoon baking soda,4.340270833333333e-4
muffin,55334,buttermilk,0.3333333333333333,cups,12,1/3 cup buttermilk,0.027777777777777776
muffin,55334,eggs,2,eggs,12,"2 eggs, slightly beaten",0.16666666666666666
muffin,55334,flour,2,cups,12,2 cups whole wheat flour,0.16666666666666666
muffin,55334,fruit,0.75,cups,12,1/2 cup applesauce;1/4 cup golden raisins (optional),0.0625
muffin,55334,nut,0.25,cups,12,1/4 cup chopped pecans (optional),0.020833333333333332
muffin,55334,oil,0.25,cups,12,1/4 cup canola oil,0.020833333333333332
muffin,55334,salt,0.0208333,cups,12,1 teaspoon salt,0.0017361083333333333
muffin,55334,spice,0.0416666,cups,12,2 teaspoons pumpkin pie spice,0.0034722166666666665
muffin,55334,sugar,1,cups,12,"2/3 cup brown sugar, firmly packed;1/3 cup white sugar",0.08333333333333333
muffin,55334,vegetable,0.5,cups,12,1/2 cup canned pumpkin,0.041666666666666664
